[2021-03-10 10:20:04] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:14] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:14] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:14] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:14] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:14] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:14] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:14] [INFO   ] File C:\workspace\fc_reporting\tmp\AFN_4030878_MIFNS00_20210310_00001.arj is signed in C:\workspace\fc_reporting\tmp\AFN_4030878_MIFNS00_20210310_00001.arj_enc 
[2021-03-10 10:20:17] [INFO   ] 440-П report has been choosen 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is created 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:21:35] [INFO   ] Sign parameters are set 
[2021-03-10 10:21:35] [INFO   ] Verify parameters are set 
[2021-03-10 10:21:35] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml is signed in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:21:35] [INFO   ] File C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml is signed in C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml_enc 
[2021-03-10 10:21:35] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml is signed in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is created 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:21:35] [INFO   ] Sign parameters are set 
[2021-03-10 10:21:35] [INFO   ] Verify parameters are set 
[2021-03-10 10:21:35] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] File C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml is encrypted in C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml_enc 
[2021-03-10 10:21:35] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml is encrypted in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:21:35] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml is encrypted in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is created 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:21:35] [INFO   ] Sign parameters are set 
[2021-03-10 10:21:35] [INFO   ] Verify parameters are set 
[2021-03-10 10:21:35] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is created 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:21:35] [INFO   ] Sign parameters are set 
[2021-03-10 10:21:35] [INFO   ] Verify parameters are set 
[2021-03-10 10:21:35] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is created 
[2021-03-10 10:21:35] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:21:35] [INFO   ] Sign parameters are set 
[2021-03-10 10:21:35] [INFO   ] Verify parameters are set 
[2021-03-10 10:21:35] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:21:35] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:21:43] [INFO   ] Local interface of signature is created 
[2021-03-10 10:21:43] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:21:43] [INFO   ] Sign parameters are set 
[2021-03-10 10:21:43] [INFO   ] Verify parameters are set 
[2021-03-10 10:21:43] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:21:43] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:21:43] [INFO   ] File C:\workspace\fc_reporting\tmp\AFN_4030878_MIFNS00_20210310_00002.arj is signed in C:\workspace\fc_reporting\tmp\AFN_4030878_MIFNS00_20210310_00002.arj_enc 
[2021-03-10 10:21:47] [INFO   ] 440-П report has been choosen 
[2021-03-10 10:22:15] [INFO   ] Local interface of signature is created 
[2021-03-10 10:22:15] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:22:15] [INFO   ] Sign parameters are set 
[2021-03-10 10:22:15] [INFO   ] Verify parameters are set 
[2021-03-10 10:22:15] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:22:15] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:22:15] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml is signed in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:22:15] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml is signed in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:22:15] [INFO   ] File C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml is signed in C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml_enc 
[2021-03-10 10:22:15] [INFO   ] Local interface of signature is created 
[2021-03-10 10:22:15] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:22:15] [INFO   ] Sign parameters are set 
[2021-03-10 10:22:15] [INFO   ] Verify parameters are set 
[2021-03-10 10:22:15] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:22:15] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:22:15] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml is encrypted in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:22:15] [INFO   ] File C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml is encrypted in C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml_enc 
[2021-03-10 10:22:15] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml is encrypted in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is created 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:22:16] [INFO   ] Sign parameters are set 
[2021-03-10 10:22:16] [INFO   ] Verify parameters are set 
[2021-03-10 10:22:16] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is created 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:22:16] [INFO   ] Sign parameters are set 
[2021-03-10 10:22:16] [INFO   ] Verify parameters are set 
[2021-03-10 10:22:16] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is created 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:22:16] [INFO   ] Sign parameters are set 
[2021-03-10 10:22:16] [INFO   ] Verify parameters are set 
[2021-03-10 10:22:16] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is created 
[2021-03-10 10:22:16] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:22:16] [INFO   ] Sign parameters are set 
[2021-03-10 10:22:16] [INFO   ] Verify parameters are set 
[2021-03-10 10:22:16] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:22:16] [INFO   ] File C:\workspace\fc_reporting\tmp\AFN_4030878_MIFNS00_20210310_00003.arj is signed in C:\workspace\fc_reporting\tmp\AFN_4030878_MIFNS00_20210310_00003.arj_enc 
[2021-03-10 10:22:17] [INFO   ] 440-П report has been choosen 
